n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,5,0.75,1,0.907761316370212,5.20246599999961,11.16818304,0,0,0.850009266069552,15.9465312,80.3372467,0.02,0.14,0.825204623804281,16.1752814,2.80526358,0.00999999999999999,0.07,0.828835743692629,15.0937844,3.08985073,0.00999999999999999,0.18,0.817752992402963,15.6286612,3.416533,0,0.24
2,5,0.75,2,0.883170693712817,6.08126199999952,13.72103208,0,0.08,0.919635622184265,12.9699304,52.20600627,0.2,0.12,0.870032776004254,12.9251257,1.88310228,0.15,0.08,0.86150529867529,12.2017709,2.22165403,0.05,0.24,0.866403053339006,12.767737,1.92383111,0.08,0.23
2,5,0.75,3,0.921593019997849,4.02718499999969,8.69075191,0,0.12,0.949774824925639,11.2446539,34.62995646,0.17,0.16,0.915282007022989,11.1956922,1.49088892,0.08,0.1,0.900485824194506,10.236328,1.74650343,0.07,0.21,0.91203527220809,11.1609898,1.47677135,0.06,0.21
2,5,0.75,4,0.942460206727505,3.47486599999975,7.33148315,0,0.12,0.935699452385631,9.5057796,28.50326435,0.16,0.23,0.909276802408624,9.2371892,1.57137786,0.06,0.21,0.895924054506841,8.9814128,1.34587267,0.05,0.25,0.907351999086881,9.1186161,1.20285031,0.05,0.3
2,5,1,1,0.860129627392008,8.45132699999936,17.93592615,0,0,0.853120656853837,16.7790227,75.5405749,0,0.14,0.852520484505097,16.8327361,3.28487265,0,0.33,0.852520484505097,16.8327361,3.9433482,0,0.24,0.858580874994913,16.752225,3.56436771,0,0.12
2,5,1,2,0.871783050972543,7.77625399999936,14.25959899,0,0.05,0.923416569133563,13.5187302,40.88003788,0.2,0.19,0.899303861162567,13.19344,2.15718471,0.04,0.26,0.902605730157209,13.1958588,2.88198113,0.04,0.15,0.904420514881263,13.1761012,2.61611733,0.04,0.22
2,5,1,3,0.933821778113934,6.17936299999954,10.84974751,0,0.09,0.940076290262191,11.1691083,30.55257699,0.21,0.22,0.913088476836185,11.0539108,2.41629545,0.07,0.25,0.913088476836185,11.053911,1.80089582,0.06,0.14,0.913088476836185,11.0539121,1.60118728,0.07,0.3
2,5,1,4,0.915653482515096,5.12664999999966,10.02058673,0,0.26,0.952392006252673,9.4699791,22.67816952,0.3,0.24,0.906280292624422,9.0666022,1.35709011,0.07,0.34,0.906280292624422,9.0666034,1.55827773,0.08,0.19,0.906280292624422,9.0666022,1.36547002,0.07,0.42
2,6,0.25,1,0.978472958755976,1.67960799999985,4.35245904,0,0,0.940377815878858,10.0260853,25.73678177,0.04,0.18,0.941479908414982,10.1378722,1.50667637,0.01,0.14,0.933390686066794,9.8731734,1.72181687,0.02,0.16,0.941379183941302,10.0740451,1.50451859,0.01,0.19
2,6,0.25,2,0.967553658389418,1.81253299999988,4.46849688,0,0,0.977074750054282,7.3736858,16.96823042,0.11,0.08,0.951802860611987,7.2627339,1.06521395,0,0.11,0.953786704789322,7.2502628,1.13028886,0,0.09,0.953786704789322,7.2680318,1.2336244,0,0.09
2,6,0.25,3,0.979401131896406,0.538772999999956,1.89773423,0,0.00999999999999999,0.995081473200866,4.5934776,7.81487113,0.06,0.02,0.974482605097272,4.4024736,0.81931855,0.02,0.03,0.979075464903032,4.3879349,0.57140149,0.00999999999999999,0.02,0.975502872421055,4.392957,0.56046377,0.00999999999999999,0.04
2,6,0.25,4,0.992664183219632,0.571392999999954,2.01957653,0,0,0.989381139157749,4.2887498,7.59104449,0.03,0.04,0.986892538017791,4.2588003,0.52665449,0.01,0.06,0.974448730674061,4.1255072,0.62398253,0.03,0.05,0.973372310575193,4.1335242,0.47997316,0.03,0.07
2,6,0.5,1,0.922178633028235,4.31076299999963,10.15213198,0,0,0.870353957601853,14.8817166,64.57085283,0.1,0.14,0.833739585024762,14.7730398,2.70181996,0.01,0.06,0.839139694401428,14.0304135,2.45948862,0.03,0.13,0.834742507484225,14.7605193,2.46086456,0,0.22
2,6,0.5,2,0.948410587938586,3.78443799999969,9.88059587,0,0.06,0.949741930081166,13.4765886,43.32091961,0.08,0.11,0.924255370536287,13.2695528,1.74336453,0.04,0.09,0.90664408041799,12.657012,1.69433694,0.01,0.16,0.933474014376318,13.2773975,1.64401021,0.01,0.17
2,6,0.5,3,0.964254761596516,2.75169499999978,7.23669519,0,0.04,0.957316899068868,9.869255,25.6654647,0.16,0.09,0.939939762434282,9.9016267,1.53433687,0.06,0.07,0.926336080018415,9.1869853,1.30969887,0.03,0.15,0.925144616935828,9.7942765,1.13342812,0.05,0.12
2,6,0.5,4,0.961385515686698,2.11901199999985,5.83095936,0,0.03,0.943941087109915,8.3432691,20.53157078,0.11,0.2,0.938137802024064,8.4148841,1.10879288,0.03,0.15,0.910182758059375,8.0042483,1.01396986,0.03,0.22,0.921011875118005,8.2019116,1.14934664,0.06,0.23
2,6,0.75,1,0.90235306676456,6.65790999999946,16.8615379,0,0,0.83575588113055,18.6066024,95.93945139,0.04,0.07,0.808031427754626,18.5414628,3.45389457,0.01,0.06,0.812644847078047,17.6898701,3.75811529,0.04,0.14,0.820148691009096,18.2281572,3.40685281,0.01,0.08
2,6,0.75,2,0.906028974671499,8.17753299999932,18.07943483,0,0,0.924082193672485,15.8134722,62.61721103,0.21,0.03,0.89653063832215,15.6626543,2.21423527,0.06,0.03,0.877878827850198,14.6131695,2.28224248,0.09,0.14,0.873190639476527,15.4177091,2.28768666,0.06,0.13
2,6,0.75,3,0.896016631856633,6.49686799999948,14.01400138,0,0.05,0.933585183035042,13.5575836,49.65114351,0.22,0.08,0.888103360166056,13.273119,1.93929809,0.07,0.08,0.882013210235074,12.5279949,1.85364072,0.08,0.13,0.856475955615481,12.773353,1.71866322,0.05,0.19
2,6,0.75,4,0.936575306788747,4.61129399999967,12.16062611,0,0.12,0.922547462720304,11.5099468,36.17047446,0.15,0.19,0.900659091245157,11.5977597,1.4777845,0.11,0.13,0.889489991584814,10.9682283,1.97925908,0.07,0.26,0.891917227165635,11.5157213,1.84538858,0.08,0.21
2,6,1,1,0.850350174839431,10.5397629999991,27.54292775,0,0,0.839276922825029,19.4100972,85.66737057,0,0.12,0.835252178916003,19.3517093,4.06121348,0,0.36,0.833931837564564,19.3298701,3.90217338,0,0.26,0.8327671561148,19.330758,3.99333115,0,0.11
2,6,1,2,0.878935649825838,10.4258459999991,19.57444177,0,0,0.929844261355176,16.1024147,50.02388654,0.21,0.07,0.899974982136834,15.8127865,3.27637217,0.02,0.16,0.899721900000361,15.7977359,2.70447952,0.02,0.08,0.901110999599192,15.8084987,2.47309333,0.03,0.07
2,6,1,3,0.87444881099732,8.25443999999934,16.78220532,0,0.07,0.942691694986707,13.1313735,40.66571541,0.2,0.15,0.913788144085118,12.8226013,1.96742237,0.01,0.2,0.913788144085118,12.8226013,2.54654134,0.01,0.15,0.915440747762507,12.8019659,1.86180289,0.01,0.15
2,6,1,4,0.888964389737232,6.8830729999995,14.43565228,0,0.16,0.941809651470612,11.1800286,34.29152344,0.3,0.17,0.915423258139465,10.9858821,2.08542786,0.11,0.22,0.915423258139465,10.9858821,1.79150223,0.11,0.19,0.915423258139465,10.9858814,1.81403111,0.14,0.19
2,7,0.25,1,0.97461726832904,1.8371789999999,7.27062515,0,0,0.922822291267516,11.5488329,27.08470427,0.0900000000000001,0.23,0.922417223414695,11.5989181,1.54106093,0,0.17,0.912257807996469,11.3060158,1.98504576,0,0.2,0.918510370803268,11.5019958,1.62779885,0,0.24
2,7,0.25,2,0.977803539681151,1.89283699999984,7.08592933,0,0.01,0.96464435770966,8.2274928,17.50942692,0.08,0.1,0.948580114959322,8.121966,1.52878538,0.00999999999999999,0.09,0.941256186182817,8.0262085,0.9936783,0.02,0.11,0.940056239215588,8.0227741,1.04824542,0.00999999999999999,0.12
2,7,0.25,3,0.991486940950564,0.862849000000012,4.85554351,0,0.00999999999999999,0.976229119585954,6.642756,10.76883718,0.04,0.08,0.97595084457438,6.6289364,0.90885412,0.04,0.08,0.96524511931439,6.5213002,0.83202136,0.02,0.09,0.971790195074655,6.6319129,0.84803675,0.02,0.09
2,7,0.25,4,0.993991925964244,0.332031999999974,2.54058875,0,0.00999999999999999,0.986890909618319,4.1279079,7.10406811,0.02,0.04,0.98401620595035,4.1091063,0.50881033,0.00999999999999999,0.04,0.98401620595035,4.0466168,0.64337634,0,0.04,0.985699254863982,4.1288489,0.57862951,0,0.05
2,7,0.5,1,0.943293314811514,4.65457899999962,12.52852289,0,0,0.8546646986353,18.8386635,77.11225604,0.07,0.12,0.819257798753754,18.4465907,2.95693698,0,0.05,0.818914795122048,17.7860874,3.30215618,0.02,0.15,0.825487059077529,18.5357768,2.92229211,0,0.1
2,7,0.5,2,0.903148558016685,6.07962499999957,18.33597602,0,0.01,0.912828554752817,14.4027937,58.42162723,0.21,0.05,0.886066003489995,14.4232332,2.47525665,0.09,0.06,0.866982191487302,13.7729635,2.11025018,0.07,0.13,0.874363588275925,14.0826373,1.97914545,0.09,0.14
2,7,0.5,3,0.934026184393148,4.54680399999967,12.86074467,0,0.03,0.935700421286351,12.2754598,40.74025052,0.17,0.11,0.913790413061429,12.4940966,1.8702042,0.07,0.08,0.892770633678037,11.7651579,1.8809847,0.06,0.18,0.907211822673288,12.3187929,1.70162333,0.06,0.16
2,7,0.5,4,0.952057236094099,3.1271269999998,9.01888134,0,0.05,0.967508384117312,10.703935,25.16492127,0.19,0.12,0.924430452743304,10.4361957,1.313362,0.06,0.13,0.926496950886188,10.0619235,1.52232373,0.08,0.15,0.91808187997572,10.3419857,2.02825959,0.03,0.19
2,7,0.75,1,0.92666150391432,6.85380299999945,20.13190246,0,0,0.831113759948897,21.2131947,118.27595616,0.01,0.05,0.82005277489371,21.4402422,3.97336279,0,0,0.82406645008173,20.0780919,4.11411942,0.00999999999999999,0.12,0.823460514964984,21.2153166,4.06474286,0,0.12
