n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
3,15,1,1,260.937300000023,84.61051634,0,0,1,278.0059241,0.42716575,0,0,1,278.0059241,0.0696575100000001,0,0
3,16,0.25,1,157.498900000003,27.90338877,0,0,0.996643635413901,227.188263,0.36378675,0,0.05,1,226.8192965,0.0707672800000001,0,0
3,16,0.5,1,225.48960000001,49.91835311,0,0,1,262.6590061,0.43811759,0,0,1,262.6590061,0.0636863200000001,0,0
3,16,0.75,1,254.07340000002,68.68315882,0,0,1,277.1235814,0.43762732,0,0,1,277.1235814,0.06131855,0,0
3,16,1,0.999999979739395,262.972500000024,83.91218043,0,0,1,280.1774433,0.42901321,0,0,1,280.1774433,0.0663320500000001,0,0
3,17,0.25,1,168.805700000003,29.97991898,0,0,0.998851247317582,233.5870661,0.41477657,0,0.05,1,232.5612994,0.07100483,0,0
3,17,0.5,1,229.744100000011,51.56769249,0,0,1,262.8268068,0.4415331,0,0,1,262.8268068,0.0659262800000001,0,0
3,17,0.75,1,253.77940000002,81.80526103,0,0,1,276.0209891,0.42227517,0,0,1,276.0209891,0.07122132,0,0
3,17,1,1,266.267800000026,94.07650155,0,0,1,283.4032898,0.44256328,0,0,1,283.4032898,0.0671528499999999,0,0
3,18,0.25,1,160.494400000003,28.83718692,0,0,1,229.3656116,0.38936999,0,0.02,1,229.3656116,0.07094619,0,0
3,18,0.5,0.999999792747833,232.317500000012,56.81322374,0,0,1,267.6694361,0.45483793,0,0,1,267.6694361,0.08153407,0,0
3,18,0.75,0.999999894438283,259.865600000022,78.64638221,0,0,1,277.8891799,0.44867484,0,0,1,277.8891799,0.0771073000000001,0,0
3,18,1,1,269.394900000027,99.37148947,0,0,1,285.1533362,0.4601847,0,0,1,285.1533362,0.0726364,0,0
3,19,0.25,1,181.768700000005,35.29595498,0,0,1,240.0623529,0.41622299,0,0.02,1,239.9097185,0.08160736,0,0
3,19,0.5,1,237.536900000013,63.49700459,0,0,1,268.2685988,0.44351049,0,0,1,268.2685988,0.07727494,0,0
3,19,0.75,0.999999841566178,259.198700000022,87.68869198,0,0,1,279.0581339,0.42445149,0,0,1,279.0581339,0.0637268499999999,0,0
3,19,1,1,268.244300000026,112.32947317,0,0,1,285.0170099,0.45656675,0,0,1,285.0170099,0.07132184,0,0
3,20,0.25,1,182.252100000004,36.55686658,0,0,1,243.1166856,0.42954263,0,0,1,243.1166856,0.0735954099999999,0,0
3,20,0.5,1,243.431300000015,80.6432497,0,0,1,271.886308,0.46577739,0,0,1,271.886308,0.06967764,0,0
3,20,0.75,1,260.237500000023,87.26807871,0,0,1,280.1057858,0.42687791,0,0,1,280.1057858,0.0714441,0,0
3,20,1,1,268.934800000027,109.12305296,0,0,1,284.0060251,0.43321162,0,0,1,284.0060251,0.07177731,0,0
4,2,0.25,1,2.35110000000006,0.68938723,0,0,0.988736394699881,68.2756895,0.34639792,0,2.33,1,56.7858005,0.04552984,0,0
4,2,0.5,1,5.13149999999999,1.04813047,0,0,0.97218567132402,107.6303288,0.31368763,0,2.3,1,68.6304398,0.04564513,0,0
4,2,0.75,1,3.32300000000003,0.83189278,0,0,0.947036590822299,136.9796134,0.34062018,0,2.17,1,61.6745741,0.07332923,0,0
4,2,1,1,2.62960000000002,0.880208099999999,0,0,0.942049096457502,147.3434157,0.34260242,0,2.14,1,46.6967227,0.06985018,0,0
4,3,0.25,1,12.4808999999998,1.40629963,0,0,0.9818672744298,110.7608482,0.32852215,0,2.09,1,93.6593924,0.04026623,0,0
4,3,0.5,0.999999713561903,14.2776000000001,1.89612908,0,0,0.972089575783452,161.4500368,0.39418864,0,1.45,1,121.4190166,0.04330314,0,0
4,3,0.75,1,16.0745000000002,2.13521413,0,0,0.947165045439021,184.8315807,0.36239616,0,1.36,1,117.2280236,0.07475975,0,0
4,3,1,1,13.4679000000001,1.9385521,0,0,0.932392724934312,211.9898352,0.41312804,0,1.33,1,96.2833615,0.04403095,0,0
4,4,0.25,1,18.5253000000002,2.27275621,0,0,0.982070314040756,131.3054406,0.37429162,0,1.66,1,118.040979,0.07958042,0,0
4,4,0.5,1,40.4376000000006,3.81141602,0,0,0.963200373905941,205.2374102,0.40481224,0,0.99,1,183.4801615,0.03656511,0,0
4,4,0.75,1,43.3587000000003,4.22529913,0,0,0.950996490943562,235.065137,0.46192595,0,0.64,1,212.0888681,0.04775657,0,0
4,4,1,1,35.1698000000002,3.84962896,0,0,0.978344240829811,279.8412646,0.44027798,0,0.22,1,272.4884411,0.0401831,0,0
4,5,0.25,1,28.7943000000001,3.77439563,0,0,0.990908298192564,152.418736,0.38601107,0,1.37,1,138.5367158,0.0804919699999999,0,0
4,5,0.5,1,82.8919999999996,7.87491286,0,0,0.980337172356938,226.7933908,0.44998795,0,0.49,1,213.5024643,0.04129509,0,0
4,5,0.75,1,151.624000000001,12.17881605,0,0,0.983925168529665,283.199989,0.47333751,0,0.2,1,276.9525586,0.04143131,0,0
4,5,1,1,202.9203,15.61591199,0,0,0.990858644998131,302.127507,0.47112687,0,0.08,1,299.8815255,0.03529879,0,0
4,6,0.25,1,43.3594000000003,5.11814182,0,0,0.985577580013202,177.0847765,0.42974718,0,1.09,1,165.5267625,0.04154654,0,0
4,6,0.5,1,132.345800000001,12.3766201,0,0,0.988170832597856,264.6128039,0.4707546,0,0.24,1,258.0483073,0.03807869,0,0
4,6,0.75,1,202.481400000001,18.65084094,0,0,0.995435391107914,294.6971403,0.49055105,0,0.09,1,292.7589786,0.04935035,0,0
4,6,1,1,251.272200000003,25.32379573,0,0,0.997124978385409,324.0607992,0.49618761,0,0.02,1,323.8411116,0.04151233,0,0
4,7,0.25,1,64.2205000000003,7.95992048,0,0,0.989646837949334,196.6899022,0.45989699,0,0.94,1,185.2680808,0.04419928,0,0
4,7,0.5,1,160.357800000001,15.78464057,0,0,0.992463522686742,278.1033759,0.48696017,0,0.13,1,276.3518639,0.0414857,0,0
4,7,0.75,1,236.616500000003,25.30664647,0,0,0.997073716262803,317.2337791,0.5055511,0,0.03,1,316.4335569,0.03666509,0,0
4,7,1,1,276.023200000006,32.97877547,0,0,1,335.6945503,0.49885982,0,0,1,335.6945503,0.03638346,0,0
4,8,0.25,1,88.0788000000009,11.25259147,0,0,0.989340638105891,222.6776062,0.46833095,0,0.54,1,216.5046403,0.04730886,0,0
4,8,0.5,1,184.588700000002,21.17081926,0,0,0.997221690284181,288.1968315,0.48890127,0,0.07,1,287.5794733,0.03787955,0,0
4,8,0.75,1,257.789700000004,33.68495718,0,0,1,328.1972836,0.52610964,0,0,1,328.1972836,0.04152905,0,0
4,8,1,1,291.753000000009,40.8922308,0,0,1,346.3657708,0.533880040000001,0,0,1,346.3657708,0.04491447,0,0
4,9,0.25,1,99.3903000000002,12.8855261,0,0,0.991492781056807,233.3023504,0.45264687,0,0.46,1,226.5310505,0.04043247,0,0
4,9,0.5,1,207.699100000002,25.78175234,0,0,0.998871732689708,306.9513956,0.5088019,0,0.03,1,306.8079938,0.04136845,0,0
4,9,0.75,1,274.850400000007,39.58889762,0,0,1,342.0473491,0.54675683,0,0,1,342.0473491,0.04320187,0,0
4,9,1,1,306.474800000014,51.29658922,0,0,1,350.6871904,0.5561491,0,0,1,350.6871904,0.03581288,0,0
4,10,0.25,1,128.110600000001,16.45149898,0,0,0.995886088407292,245.2704196,0.49314664,0,0.36,1,240.9591609,0.04612138,0,0
4,10,0.5,1,232.869500000004,32.31028751,0,0,0.997562915478183,309.2552358,0.54731711,0,0.03,1,308.8411133,0.0458685,0,0
4,10,0.75,1,294.214800000012,49.82817408,0,0,1,343.9642108,0.56964675,0,0,1,343.9642108,0.05017807,0,0
4,10,1,1,315.344600000017,60.4429869,0,0,1,355.8140692,0.53399386,0,0,1,355.8140692,0.03850194,0,0
4,11,0.25,1,139.533900000001,19.1347643,0,0,0.992816621168647,260.7932334,0.48782709,0,0.31,1,259.0808061,0.07465004,0,0
4,11,0.5,1,241.779200000004,38.68887365,0,0,0.998349572271543,314.4755965,0.56654556,0,0.04,1,313.5563047,0.04662989,0,0
