n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,17,0.5,1,154.685100000008,26.97458494,0,0,1,174.5427114,0.21560996,0,0,1,174.5427114,0.0707068000000001,0,0,1,174.5427114,5.7125305,0,0
2,17,0.75,1,163.69560000001,30.91901051,0,0,1,177.9366608,0.21601901,0,0,1,177.9366608,0.02228252,0,0,1,177.9366608,5.57483332000001,0,0
2,17,1,1,165.700700000011,33.27225841,0,0,1,177.7277368,0.21005814,0,0,1,177.7277368,0.02336759,0,0,1,177.7277368,5.93346137,0,0
2,18,0.25,1,108.844200000001,16.45408647,0,0,1,152.5216316,0.22576305,0,0.00999999999999999,1,152.5216316,0.02213037,0,0,1,152.5216316,5.89183641,0,0.00999999999999999
2,18,0.5,1,153.114400000007,28.09729002,0,0,1,172.682503,0.20768413,0,0,1,172.682503,0.02276699,0,0,1,172.682503,5.4974379,0,0
2,18,0.75,1,166.991700000012,33.12605359,0,0,1,181.0567396,0.21465963,0,0,1,181.0567396,0.023403,0,0,1,181.0567396,5.85882524,0,0
2,18,1,1,168.954100000013,37.37082212,0,0,1,179.418971,0.20994034,0,0,1,179.418971,0.02235361,0,0,1,179.418971,5.84008261,0,0
2,19,0.25,1,115.650800000002,18.08269959,0,0,1,152.7584075,0.20140867,0,0.01,1,152.7584075,0.02521433,0,0,1,152.7584075,6.18856996,0,0.01
2,19,0.5,1,155.510700000009,29.7739618,0,0,1,176.7585197,0.21593488,0,0,1,176.7585197,0.02556264,0,0,1,176.7585197,6.01240227,0,0
2,19,0.75,1,164.766600000011,35.01434507,0,0,1,179.0276136,0.21428646,0,0,1,179.0276136,0.02551006,0,0,1,179.0276136,5.74761948,0,0
2,19,1,1,169.773300000013,40.56638115,0,0,1,180.3580836,0.21403426,0,0,1,180.3580836,0.0241897,0,0,1,180.3580836,5.79926281,0,0
2,20,0.25,1,125.811900000004,20.80435615,0,0,1,159.0403901,0.20802685,0,0.02,1,159.0403901,0.0230696,0,0,1,159.0403901,5.61325974,0,0.02
