n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,18,0.5,0.999999887649526,154.111800000007,21.82373433,0,0,1,174.3293298,0.1700718,0,0,1,174.3293298,0.01824299,0,0,1,174.3293298,4.7769286,0,0
2,18,0.75,1,167.003000000012,27.35990361,0,0,1,180.0806724,0.16971895,0,0,1,180.0806724,0.01876491,0,0,1,180.0806724,4.43725164,0,0
2,18,1,1,171.210700000014,29.56465113,0,0,1,179.461604,0.17086876,0,0,1,179.461604,0.01758596,0,0,1,179.461604,4.40797359,0,0
2,19,0.25,1,114.170200000003,12.90164552,0,0,0.997022449015388,153.6455568,0.18190614,0,0.03,1,153.506066,0.01896476,0,0,0.997022449015388,153.6455568,4.34044048,0,0.03
2,19,0.5,1,156.115000000007,23.17787184,0,0,1,175.1932315,0.17356472,0,0,1,175.1932315,0.02100286,0,0,1,175.1932315,4.30191113,0,0
2,19,0.75,1,166.613800000011,30.64267791,0,0,1,179.8299798,0.17656091,0,0,1,179.8299798,0.02089707,0,0,1,179.8299798,4.43511791,0,0
2,19,1,1,171.750900000014,31.93713299,0,0,1,182.2532778,0.176943,0,0,1,182.2532778,0.02065577,0,0,1,182.2532778,4.77571546,0,0
2,20,0.25,1,125.484500000002,16.34738325,0,0,1,159.8354857,0.16374292,0,0,1,159.8354857,0.01840183,0,0,1,159.8354857,4.2639658,0,0
2,20,0.5,1,159.233600000009,24.25644446,0,0,1,178.2699521,0.17682642,0,0,1,178.2699521,0.01937167,0,0,1,178.2699521,4.68018813,0,0
2,20,0.75,1,165.518600000011,30.91423194,0,0,1,180.0085985,0.18085059,0,0,1,180.0085985,0.01947645,0,0,1,180.0085985,4.33519299,0,0
2,20,1,1,172.078100000014,33.08652072,0,0,1,182.0533044,0.17178719,0,0,1,182.0533044,0.01891004,0,0,1,182.0533044,4.34640215,0,0
3,2,0.25,1,2.3101,0.42019755,0,0,0.990372670253442,56.0492389,0.14088895,0,1.43,1,44.9175496,0.04597045,0,0,0.994573603971609,56.7312118,3.53834929,0,1.4
3,2,0.5,1,1.48980000000002,0.41266637,0,0,0.957817453322412,81.6534726,0.19795189,0,1.33,1,53.4508362,0.02545876,0,0,0.977223303696572,84.1996042,4.29951517999999,0,1.32
3,2,0.75,1,0.423900000000003,0.15983226,0,0,0.902185043901595,77.713224,0.18242944,0,1.53,1,27.1502215,0.02505701,0,0,0.917088505228493,80.5432899,4.72730154,0,1.44
