n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
3,8,0.5,1,0.64183470362159,12.31763821,0,0,1,0.980651398738432,0.22041631,0,0.00666666666666667,1,0.979033380592467,0.05114779,0,0
3,8,0.75,1,0.807474401940466,17.83846721,0,0,0.99989826305445,0.988941280730655,0.21531528,0,0.00333333333333334,1,0.986792733234022,0.04441158,0,0
3,8,1,1,0.853488964207151,20.91784171,0,0,1,0.988172811138088,0.2220317,0,0,1,0.988172811138088,0.04060207,0,0
3,9,0.25,1,0.465719649006836,7.42681801,0,0,0.997182104510831,0.983949009445071,0.30781401,0,0.0866666666666667,1,0.977067466550458,0.02335646,0,0
3,9,0.5,1,0.720037496497067,15.15778105,0,0,0.999074586024724,0.985026875536565,0.2224603,0,0.01,1,0.978996507702029,0.04166819,0,0
3,9,0.75,1,0.812683342027172,21.84357847,0,0,1,0.993177154987345,0.22815981,0,0,1,0.993177154987345,0.04410354,0,0
3,9,1,1,0.876643550531144,26.62720058,0,0,1,0.993324161533048,0.22546936,0,0,1,0.993324161533048,0.04393123,0,0
3,10,0.25,1,0.500671712912824,8.85626372,0,0,0.99904018202764,0.981585135556361,0.23238214,0,0.0866666666666666,1,0.973866242107171,0.02599905,0,0
3,10,0.5,1,0.753630442795264,19.35754304,0,0,1,0.987515200917711,0.22962776,0,0.00333333333333334,1,0.987515200917711,0.04191015,0,0
3,10,0.75,0.999999851948247,0.850896532105859,26.33983848,0,0,1,0.991684599987858,0.23943321,0,0,1,0.991684599987858,0.04550973,0,0
3,10,1,1,0.874630758486088,30.22676132,0,0,1,0.994040353918287,0.23006165,0,0,1,0.994040353918287,0.03869864,0,0
3,11,0.25,1,0.585829739686698,11.05698776,0,0,0.997969302363753,0.989263222059402,0.24667947,0,0.0766666666666666,1,0.9814269145247,0.02697389,0,0
3,11,0.5,1,0.792311218766403,22.25626159,0,0,1,0.992337246649076,0.24891993,0,0,1,0.992337246649076,0.0461753800000001,0,0
3,11,0.75,1,0.86652733014711,28.70785551,0,0,1,0.988236135584768,0.23110466,0,0,1,0.988236135584768,0.05062841,0,0
3,11,1,1,0.905938673604783,34.70955761,0,0,1,0.99388598131449,0.23351616,0,0,1,0.99388598131449,0.04245132,0,0
3,12,0.25,1,0.599684424534812,13.1908867,0,0,0.996352907851137,0.989768962992115,0.2525948,0,0.0466666666666667,1,0.982306866270771,0.02579141,0,0
3,12,0.5,1,0.804463175870138,23.90278285,0,0,1,0.990549838249185,0.243137,0,0,1,0.990549838249185,0.05589033,0,0
3,12,0.75,1,0.885111242350334,31.71228841,0,0,1,0.993868863080289,0.2404606,0,0,1,0.993868863080289,0.0512117399999999,0,0
3,12,1,1,0.912359839050469,36.40499115,0,0,1,0.997047932207161,0.24497491,0,0,1,0.997047932207161,0.05135273,0,0
3,13,0.25,1,0.595689575007119,15.55888689,0,0,0.996502694369325,0.978104120510535,0.23253641,0,0.03,1,0.976106960821881,0.04197975,0,0
3,13,0.5,1,0.81441419429567,27.47751587,0,0,1,0.992534937366969,0.24557115,0,0,1,0.992534937366969,0.05233889,0,0
